id,title,original_title,overview,genre_ids,genre_names,adult,original_language,vote_average,popularity,vote_count,poster_url,backdrop_url
1306368,더 립,The Rip,"허름한 은닉처에서 수백만 달러의 현금을 발견한 마이애미 경찰. 신뢰에 금이 가기 시작하면서 모든 사람, 모든 것이 의심의 대상이 된다.","28,53,80",액션|스릴러|범죄,False,en,7.049,300.7556,860,https://image.tmdb.org/t/p/w500/o0d6Us9VWOW0nHhoB7ZNIwigARG.jpg,https://image.tmdb.org/t/p/w780/3F2EXWF1thX0BdrVaKvnm6mAhqh.jpg
1043197,더스트 바니,Dust Bunny,"“어른도 아이도 함께하는 몬스터 사냥 이야기” 열 살 소녀 오로라는 침대 밑에 숨어 있다고 믿는 정체불명의 괴물 때문에 자신의 가족이 사라졌다고 믿는다. 아무도 그녀의 말을 믿어주지 않자, 오로라는 복도를 사이에 둔 신비로운 이웃 - 몬스터 -를 사냥하는 것으로 보이는 청부살인업자에게 도움을 청한다. 그는 처음엔 의심하면서도 그녀의 부탁을 받아들이고, 두 사람은 함께 진짜 괴물과 맞서며 이들이 마주한 위험한 세상과 서로의 상처를 이해해 가게 되는데…","28,14,53",액션|판타지|스릴러,False,en,6.6,239.2488,128,https://image.tmdb.org/t/p/w500/vobigFZFvbYPf6ElYJu07P9rH8C.jpg,https://image.tmdb.org/t/p/w780/AecGG1XVCmkk7fT10ko3FC0dLIP.jpg
1419406,포풍추영,捕风追影,"첨단 감시 시스템과 삼엄한 보안망을 무력화하고, 수십억을 탈취한 정체불명의 범죄 조직. 통제 불능의 범죄에 마카오 경찰은 결국 은퇴한 전설의 범죄 추적 전문가 ‘황더중’에게 도움을 요청한다. 황더중은 신입 경찰 ‘허추궈’와 함께 최정예 감시반을 구성해, 범죄 조직의 수장 ‘푸룽성’을 추적하기 시작한다. 하지만 수사망이 조여올수록 상대의 덫과 함정은 더욱 교묘해지고, 예상치 못한 반격 속에 황더중 역시 추적당하기 시작하는데…","28,80,18,53",액션|범죄|드라마|스릴러,False,zh,7.213,363.8111,350,https://image.tmdb.org/t/p/w500/pUCkdO40PWHdvU1GEYV6ywY7li2.jpg,https://image.tmdb.org/t/p/w780/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg
83533,아바타: 불과 재,Avatar: Fire and Ash,"인간들과의 전쟁으로 첫째 아들 ‘네테이얌’을 잃은 후, ‘제이크’와 ‘네이티리’는 깊은 슬픔에 빠진다. 상실에 빠진 이들 앞에 '바랑'이 이끄는 재의 부족이 등장하면서, 판도라는 더욱 큰 위험에 빠지게 되고, ‘설리’ 가족은 선택의 기로에 서게 되는데…","878,12,14",SF|모험|판타지,False,en,7.304,222.7451,1637,https://image.tmdb.org/t/p/w500/l18o0AK18KS118tWeROOKYkF0ng.jpg,https://image.tmdb.org/t/p/w780/3Dqievkc7krcTtDE2hjRkIsEzB1.jpg
991494,스폰지밥 무비: 네모바지를 찾아서,The SpongeBob Movie: Search for SquarePants,"비키니시티에 사는 스폰지밥은 무시무시한 롤러코스터를 탈 수 있는 용감한 ‘빅 가이’가 꿈이다. 그러던 어느 날, 미지의 세계 ‘언더월드’에 사는 유령선장을 만나 ‘용감무쌍짱 증명서’를 받으면 진정한 ‘빅 가이’가 될 수 있다는 말을 들은 스폰지밥은 절친 뚱이와 함께 해적선을 찾아 위험천만한 모험을 떠난다. 그 사실을 안 집게사장과 징징이, 핑핑이는 스폰지밥을 구하기 위해 따라나서는데…","16,10751,35,12,14",애니메이션|가족|코미디|모험|판타지,False,en,6.6,167.3536,138,https://image.tmdb.org/t/p/w500/2QCGC4toQXYuIsWKj5vJQRAdPjd.jpg,https://image.tmdb.org/t/p/w780/gbjK8p5S1aLXWCwOoXqr9aWZvqG.jpg
1234731,아나콘다,Anaconda,"중년의 위기를 겪고 있는 친구들이 젊은 시절 가장 좋아했던 영화를 재현하기 위해 열대우림으로 떠난다. 그러나 그들은 자연 재해, 거대한 뱀, 그리고 폭력적인 범죄자들과 맞서 싸우며 생존을 위한 사투를 벌이게 된다.","12,35,27",모험|코미디|공포,False,en,5.903,238.1653,217,https://image.tmdb.org/t/p/w500/qxMv3HwAB3XPuwNLMhVRg795Ktp.jpg,https://image.tmdb.org/t/p/w780/swxhEJsAWms6X1fDZ4HdbvYBSf9.jpg
1368166,하우스메이드,The Housemaid,과거를 숨긴 채 완벽한 저택의 가정부로 들어간 밀리가 이상한 행동을 보이는 아내 니나와 그런 아내를 이해하는 모범적인 남편 앤드루와 얽히며 닫힌 문 뒤의 거짓과 마주하게 되는 월드 베스트셀러 원작의 고자극 미스터리 스릴러,"9648,53",미스터리|스릴러,False,en,7.108,147.963,549,https://image.tmdb.org/t/p/w500/fUDX16A4fJXmAuUA5t0pnqzXS0b.jpg,https://image.tmdb.org/t/p/w780/sK3z0Naed3H1Wuh7a21YRVMxYqt.jpg
1412598,킬러 웨일,Killer Whale,,"53,27,28,9648,878",스릴러|공포|액션|미스터리|SF,False,en,5.693,119.4486,44,https://image.tmdb.org/t/p/w500/cqbXxAw9sUr4tJ5ffEwtnz6IL9o.jpg,https://image.tmdb.org/t/p/w780/ykigHs1OIyqqV04zfFqIlSHp546.jpg
1233413,씨너스: 죄인들,Sinners,"1932년, 시카고 갱단의 생활을 정리하고 고향 미시시피로 돌아온 쌍둥이 형제 스모크와 스택은 큰돈을 벌기 위해 술집 주크 조인트를 운영하기로 한다. 화려한 오프닝 파티가 열리는 밤, 천부적인 재능을 지닌 새미의 노래로 파티의 열기는 점점 뜨거워지고 초대하지 않은 불청객 일행이 찾아오는데…","27,28,53",공포|액션|스릴러,False,en,7.485,100.3101,3424,https://image.tmdb.org/t/p/w500/qEipksU5SzHxbeZbE0cZQzEt6bD.jpg,https://image.tmdb.org/t/p/w780/7dQTILcUKw8chDiLj8TgPXxRuED.jpg
1608982,잿더미 속에서: 구덩이,جرس إنذار: الحفرة,폭풍우 속에서 지하 구덩이에 갇힌 여학교 학생 세 명. 그들은 생존을 위해 싸우며 각자의 갈등을 마주해야 한다.,"53,18",스릴러|드라마,False,ar,3.8,89.6567,15,https://image.tmdb.org/t/p/w500/d15hDAidWlBgoVKNePhQWndGclb.jpg,https://image.tmdb.org/t/p/w780/uiSaYXR0jLLWma0EPA1tcBhX6wT.jpg
