rank,title,author,publisher,price,point,url
1,까다로운 사람과 함께 일하는 법,"라이언 리크 지음, 김태훈 옮김",김영사,"18,000","1,000",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385971568
2,명료함,탁민 오 지음,탁희재,"17,820",990,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385962895
3,내일을 바꾸는 200가지 질문노트,시원북스 편집부 지음,시원북스,"15,030",830,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385806188
4,어른의 그릇,조윤제 지음,청림출판,"17,100",950,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385787052
5,방향을 따라야 인생이 달라진다,"메건 헬러러 지음, 이현 옮김",흐름출판,"20,700","1,150",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385590381
6,더 퍼스트 미닛,"크리스 페닝 지음, 김주희 옮김",중앙books(중앙북스),"16,200",900,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385527216
7,그만 배우기의 기술,"팻 플린 지음, 김지혜 옮김",어크로스,"16,920",940,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385415808
8,부처님 말씀대로 살아보니,"토니 페르난도 지음, 강정선 옮김",윌마,"17,010",940,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385370551
9,감사하는 뇌가 인생을 바꾼다,"가바사와 시온.다시로 마사타카 지음, 오시연 옮김",현대지성,"15,210",840,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385074281
10,쓰는 사람,백희성 지음,교보문고(단행본),"16,920",940,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384966769
11,말하다가 길을 잃는 당신을 위한 설명 치트키 100,"후카야 유리코 지음, 조해선 옮김",흐름출판,"16,200",900,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384965883
12,무례함이 선을 넘을 때 즉각 꺼내는 단호한 문장 63,박형석 지음,초록북스,"15,300",850,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384963084
13,"AI로 차트, 그래프, 인포그래픽 한 번에 끝내기",이현 지음,천그루숲,"16,200",900,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384756370
14,모두에게 사랑받을 필요는 없다,"웨인 다이어 지음, 장원철 옮김",북모먼트,"19,800","1,100",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384701650
15,억만장자의 낡은 수첩,마테호른 지음,에이콘온,"16,650",920,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384691470
16,데일 카네기 긍정태도론,"데일 카네기 지음, 박선령 옮김",현대지성,"15,210",840,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384674113
17,인생의 변화는 작은 것에서 시작된다,"조던 그루멧 지음, 박선령 옮김",비즈니스북스,"16,200",900,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384668757
18,경청의 기술,"야마다 하루 지음, 정지현 옮김",알에이치코리아(RHK),"19,800","1,100",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384575213
19,반복의 쓸모,억만장자 메신저 지음,동양북스(동양문고),"17,820",990,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384441540
20,내가 허락하지 않는 한,충희 지음,여린풀,"15,750",870,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384438448
