rank,title,url
1,자본주의,https://www.yes24.com/product/goods/11081680
2,왜 그들만 부자가 되는가,https://www.yes24.com/product/goods/140537260
3,박태웅의 AI 강의 2025,https://www.yes24.com/product/goods/133308510
4,생각에 관한 생각,https://www.yes24.com/product/goods/59580017
5,부의 추월차선 (10주년 스페셜 에디션),https://www.yes24.com/product/goods/106369008
6,레버리지,https://www.yes24.com/product/goods/117389523
7,달러는 왜 비트코인을 싫어하는가,https://www.yes24.com/product/goods/66815979
8,경제기사 궁금증 300문 300답,https://www.yes24.com/product/goods/140047989
9,나의 두 번째 교과서 X 이진우의 다시 만난 경제,https://www.yes24.com/product/goods/141398904
10,넛지: 파이널 에디션,https://www.yes24.com/product/goods/110157236
11,시대예보: 호명사회,https://www.yes24.com/product/goods/133236068
